"","V1","V2"
"A0A674C601","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674CWL8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A151N700","C-C motif chemokine","4"
"A0A673XZP6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674C3L4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674C4Y5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A668AR46","C-C motif chemokine","4"
"A0A7L2H1J1","C-C motif chemokine (Fragment)","4"
"A0A2I4C2D3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K5UER8","C-C motif chemokine (Fragment)","4"
"A0A7L2H334","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7K9C2N0","C-C motif chemokine (Fragment)","4"
"A0A2I4CAZ1","C-C motif chemokine","4"
"A0A3Q2YDI6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A667ZTT7","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A673WM55","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674BFD8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674C6G0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7J6ATE9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B3RDQ2","C-X-C motif chemokine","4"
"A0A7K7SZA3","C-C motif chemokine (Fragment)","4"
"A0A2I4B2I1","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674AY77","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A667X1P4","C-C motif chemokine","4"
"A0A674AYR4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6I9HE43","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674A8V1","C-C motif chemokine","4"
"A0A7J6B1E2","C-C motif chemokine","4"
"A0A7K5UPP9","C-C motif chemokine (Fragment)","4"
"A0A7K7PEI5","C-C motif chemokine (Fragment)","4"
"A0A667WUI9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K7F5X9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A667Z472","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A667Y302","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7J6B2V6","C-C motif chemokine","4"
"A0A6J0HYK6","C-C motif chemokine","4"
"A0A7K5A2T9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A663LWV6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3B4FDC5","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3Q1EVC9","C-C motif chemokine","4"
"A0A3B3Y150","C-C motif chemokine","4"
"A0A7K9C4T5","C-C motif chemokine (Fragment)","4"
"A0A7L1H5M5","C-C motif chemokine (Fragment)","4"
"A0A3Q1EU20","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A226MLA6","C-C motif chemokine","4"
"A0A7K5X5C9","C-C motif chemokine (Fragment)","4"
"A0A6J1UFL8","C-C motif chemokine","4"
"A0A6J1U0D2","C-C motif chemokine","4"
"A0A7R5L947","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K9BDK2","C-C motif chemokine (Fragment)","4"
"A0A663MVY2","TIR domain-containing adapter molecule 1 (TICAM-1)","1"
"A0A6J0G7N5","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q1F4U0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q1H2P6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q1HBF9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A2I0TUY7","C-C motif chemokine","4"
"A0A7K5QMZ4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q1F2I1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L1WUH0","C-C motif chemokine (Fragment)","4"
"A0A3B4FLI1","C-C motif chemokine","4"
"A0A6J1VWS4","C-C motif chemokine","4"
"A0A6I9PEJ1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2B1Q1","C-C motif chemokine (Fragment)","4"
"A0A2I0TUY3","C-C motif chemokine","4"
"A0A3Q1EKJ3","C-X-C motif chemokine","4"
"A0A151NMT3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L3ES88","C-X-C motif chemokine (Fragment)","4"
"A0A7L2XQL9","C-X-C motif chemokine (Fragment)","4"
"A0A7L2XUQ1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A663MQB2","C-C motif chemokine","4"
"A0A6J0HPR1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091H2T9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A663LXH8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6I9NYV2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A2I0TXU4","C-X-C motif chemokine","3"
"A0A7L2XNX2","C-C motif chemokine (Fragment)","4"
"A0A7L3FWA9","C-C motif chemokine (Fragment)","4"
"A0A6J0IPU6","C-C motif chemokine","4"
"A0A6J0HTJ5","C-C motif chemokine","4"
"A0A6I9NV28","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6I9NV25","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A091H9F1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A7K5AA69","C-C motif chemokine (Fragment)","4"
"A0A3Q1G3L8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3Q1GYG0","C-C motif chemokine","4"
"A0A7L3FYF8","C-C motif chemokine (Fragment)","4"
"A0A7L2HVI4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A6J1V8W3","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L2AZ95","C-C motif chemokine (Fragment)","4"
"A0A3Q1FYW5","C-C motif chemokine","4"
"A0A7J6B0Q0","C-C motif chemokine","4"
"A0A7K9ASQ1","C-C motif chemokine (Fragment)","4"
"A0A7L2XPT4","C-C motif chemokine (Fragment)","4"
"A0A6J1TS48","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A6J0I9W3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A663N8L6","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K6GS94","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A3B4FR24","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A6J1V864","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A663LW95","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J1UHC2","C-C motif chemokine","4"
"A0A6J1VWS8","C-C motif chemokine","4"
"A0A663MQW5","C-C motif chemokine","4"
"A0A7L1WGW8","C-C motif chemokine (Fragment)","4"
"A0A6J0G752","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3B4F090","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7J6B2M3","C-C motif chemokine","4"
"A0A226NBJ4","C-C motif chemokine","4"
"A0A151N550","C-X-C motif chemokine","4"
"A0A3Q1G1F7","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A226MSU1","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K5U035","C-C motif chemokine (Fragment)","4"
"A0A226ME70","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"A0A7K5X444","C-C motif chemokine (Fragment)","4"
"A0A6J1UUU8","C-X-C motif chemokine","4"
"A0A663MS37","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A7K6GHC3","C-C motif chemokine (Fragment)","4"
"A0A2I0UI75","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A3Q1G3M3","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K6GYU0","C-C motif chemokine (Fragment)","4"
"A0A6J0IBY6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A099ZMW1","C-C motif chemokine (Fragment)","4"
"A0A7K5TX73","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L3F5C7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A091GVE7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L3IRR4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L3E2P9","C-C motif chemokine (Fragment)","4"
"A0A7L1HL15","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L3FTW2","C-X-C motif chemokine (Fragment)","4"
"A0A3Q1FUB0","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L2XSD4","C-C motif chemokine (Fragment)","4"
"A0A7K4ZUL9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K9CJ19","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6J0HQG4","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A6J1VP88","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2X9I1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L1WJQ6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A6J1VWI6","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A7L1WMZ0","C-C motif chemokine (Fragment)","4"
"A0A7K6Y1C5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A6J0HZG1","C-C motif chemokine","4"
"A0A7L2BBV3","C-C motif chemokine (Fragment)","4"
"A0A7L2AGS1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3Q1FX67","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A151NTX1","C-C motif chemokine","4"
"A0A7L3IT24","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L1HDQ1","C-C motif chemokine (Fragment)","4"
"A0A6J0HNB5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A6J1VH02","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A091H0F9","C-C motif chemokine","4"
"A0A1A8RC32","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A3Q0G0Q8","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A402ETX3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K9W8L2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A668VVS6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A668VVL3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K8U4Z3","C-C motif chemokine (Fragment)","4"
"A0A087QZ01","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A668VRQ5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6C586","C-C motif chemokine (Fragment)","4"
"A0A668VL23","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A094KLK8","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A670IAV5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3Q0FWK0","C-X-C motif chemokine","4"
"A0A7L3G4T2","C-C motif chemokine (Fragment)","4"
"A0A402EMV6","C-C motif chemokine","4"
"A0A668VVI6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6C297","C-C motif chemokine (Fragment)","4"
"A0A668VPK6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A553NWA1","C-C motif chemokine (Fragment)","4"
"A0A1U7RV15","C-C motif chemokine","4"
"A0A668U8A8","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K6C4T5","C-C motif chemokine (Fragment)","4"
"A0A668T1I2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A668T3F9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3P8TQ93","C-X-C motif chemokine","4"
"A0A7L0GZ02","C-C motif chemokine (Fragment)","4"
"A0A3Q0HQ16","C-C motif chemokine","3"
"A0A7K7N175","C-C motif chemokine (Fragment)","4"
"A0A668T1N6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A668VL53","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A553RNH3","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A087QWI0","C-C motif chemokine (Fragment)","4"
"A0A7K9ZY49","C-C motif chemokine (Fragment)","4"
"A0A668VVW4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6BLJ3","C-C motif chemokine (Fragment)","4"
"A0A668S639","C-C motif chemokine","4"
"A0A1A8PKI7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","3"
"A0A3P8TFF9","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A1A8VI82","C-X-C motif chemokine (Fragment)","4"
"A0A7K8RFF3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L3B9R9","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6BXI2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K6C4U4","C-C motif chemokine (Fragment)","4"
"A0A7K9VZ65","C-C motif chemokine (Fragment)","4"
"A0A7K9WB98","C-C motif chemokine (Fragment)","4"
"A0A668VQ52","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A668VW24","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1M8V6","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A670KH78","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A670JD84","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"A0A1U7RBM2","C-C motif chemokine","4"
"A0A7K9W3F5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L0P9L1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A1U7QZQ1","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K8DT21","C-C motif chemokine (Fragment)","4"
"A0A7K8EI83","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8S6K2","C-C motif chemokine (Fragment)","4"
"A0A670JMZ7","C-C motif chemokine","4"
"A0A7K9RX16","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8B1V8","C-X-C motif chemokine (Fragment)","4"
"A0A1U8CWY2","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L2E0W2","C-C motif chemokine (Fragment)","4"
"A0A7L2E813","C-C motif chemokine (Fragment)","4"
"A0A670K7G0","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K6DY35","C-C motif chemokine (Fragment)","4"
"A0A7K8AUN3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A087RE08","C-C motif chemokine (Fragment)","4"
"A0A1A8S691","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8SB95","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine] (Fragment)","4"
"A0A7K9SAE4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A1U7RDP9","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A3P8THG5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A1A8UPA7","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K6E7X2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L1MPF1","C-C motif chemokine (Fragment)","4"
"A0A670I2B5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"S4R698","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K9WVD8","C-C motif chemokine (Fragment)","4"
"A0A0U5EFV6","Interleukin-17B","4"
"A0A1A8AF44","C-X-C motif chemokine","4"
"A0A7K9S0W9","C-C motif chemokine (Fragment)","4"
"A0A7K8ANJ3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K9WCS5","C-C motif chemokine (Fragment)","4"
"A8HDP6","CD8 beta 2","4"
"A0A7L0A425","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A670JPE7","C-C motif chemokine","4"
"A0A087REZ7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K9S4P2","C-C motif chemokine (Fragment)","4"
"A0A7L3AT53","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7K8AIG7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L1MBH2","C-X-C motif chemokine (Fragment)","4"
"A0A7K8EJH8","C-C motif chemokine (Fragment)","4"
"A0A3Q0G0D0","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2V9M3","C-C motif chemokine (Fragment)","4"
"A0A7L0GWN0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A087QWH8","C-C motif chemokine (Fragment)","4"
"A0A087R3W7","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A3P8TQK2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A094LVH5","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","4"
"A0A7L2EPM3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7L1LTN4","C-C motif chemokine (Fragment)","4"
"A0A7K8ANQ0","C-C motif chemokine (Fragment)","4"
"A0A1U7R7K6","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7L1MUF3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A670JQZ5","C-C motif chemokine","4"
"A0A7L2VRB9","C-C motif chemokine (Fragment)","4"
"A0A094N808","C-C motif chemokine (Fragment)","4"
"A0A7L0GCI1","C-C motif chemokine (Fragment)","4"
"A0A1U7S7G4","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K8B9Y9","C-C motif chemokine (Fragment)","4"
"A0A087QWH9","C-C motif chemokine","4"
"A0A7K9RFA0","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K9ZGY1","C-C motif chemokine (Fragment)","4"
"A0A3Q0G3S5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A1U7SIK6","C-C motif chemokine","4"
"A0A1A8RHN8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7K6EMB2","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A670JQX5","C-C motif chemokine","4"
"A0A6G1S073","Stress-activated protein kinase JNK (EC 2.7.11.24)","4"
"A0A1A7Y604","Stress-activated protein kinase JNK (EC 2.7.11.24)","1"
"A0A669PXU2","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A7K8ZW27","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K9YG23","C-C motif chemokine (Fragment)","4"
"A0A669QGD1","C-C motif chemokine","4"
"H2U861","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A452GHQ0","TIR domain-containing adapter molecule 1 (TICAM-1)","1"
"A0A7L0D060","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8ZTQ6","C-C motif chemokine (Fragment)","4"
"A0A669PVZ7","Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]","4"
"Q8QFP5","C-X-C motif chemokine","4"
"A0A3P8TUL8","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A7L0GVD4","C-C motif chemokine (Fragment)","4"
"A0A7L0C5F9","C-C motif chemokine (Fragment)","4"
"A0A7L0C193","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A091QW03","C-C motif chemokine","4"
"G8HAA3","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A669PXT7","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K9AD58","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K9J3Y1","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A452GSJ8","C-X-C motif chemokine","4"
"A0A452HL18","C-C motif chemokine","4"
"A0A7K8ZLN9","C-C motif chemokine (Fragment)","4"
"A0A669PFU8","C-C motif chemokine","4"
"A0A670IA77","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7K6ESW7","C-X-C motif chemokine (Fragment)","4"
"A0A7L1GZP4","C-X-C motif chemokine (Fragment)","4"
"A0A7K6HG88","C-X-C motif chemokine (Fragment)","4"
"A0A452HEJ1","C-C motif chemokine","4"
"A0A674HMU6","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A7L2IUQ6","C-C motif chemokine (Fragment)","4"
"A0A6P9AN35","TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II)","2"
"A0A6P9BV06","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A4Z2BJ75","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A674MNV3","Stress-activated protein kinase JNK (EC 2.7.11.24)","3"
"A0A674G6U4","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"A0A669QBN5","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
"Q2PCF2","Erythropoietin","4"
"A0A7L1L833","C-C motif chemokine (Fragment)","4"
"H2ER39","C-C motif chemokine","4"
"A0A6P7KGI8","C-C motif chemokine","4"
"A0A7K7LTN2","C-C motif chemokine (Fragment)","4"
"A0A7L0ZYB3","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A7K8E6G4","Stress-activated protein kinase JNK (EC 2.7.11.24) (Fragment)","2"
"A0A668VKY2","Stress-activated protein kinase JNK (EC 2.7.11.24)","2"
